FID,Id,ORIG_FID,Id_1,Z (ft),POINT_X,POINT_Y,Lat,Long
321,0,0,0,223.6788701,1275195.329,248599.0857,47.6719017,-122.3160019
322,0,0,0,26.52414224,1275195.633,248623.5436,47.6719017,-122.3160019
323,0,0,0,221.5585247,1275207.62,248654.075,47.6720009,-122.3160019
324,0,0,0,218.7126754,1275217.226,248685.4383,47.6721001,-122.3160019
325,0,0,0,216.5818827,1275225.334,248717.2256,47.6721992,-122.3160019
326,0,0,0,218.201826,1275230.569,248749.6135,47.6722984,-122.3160019
327,0,0,0,223.4312348,1275233.948,248782.2413,47.6724014,-122.3160019
328,0,0,0,220,1275235.747,248814.9759,47.6725006,-122.3160019
329,0,0,0,217.8585718,1275236.387,248847.778,47.6725998,-122.3160019
330,0,0,0,217.0774429,1275237.026,248880.5801,47.672699,-122.3160019
331,0,0,0,217.9133748,1275237.644,248913.3827,47.672699,-122.3160019
332,0,0,0,216.7114035,1275238.266,248946.1851,47.6727982,-122.3160019
333,0,0,0,218.1841278,1275238.901,248978.9873,47.6729012,-122.3160019
334,0,0,0,217.1890703,1275239.536,249011.7894,47.6730003,-122.3160019
335,0,0,0,217.9033088,1275240.172,249044.5916,47.6730995,-122.3160019
336,0,0,0,148.0829394,1275240.807,249077.3938,47.6731987,-122.3160019
337,0,0,0,218.0073152,1275241.442,249110.196,47.6733017,-122.3160019
338,0,0,0,217.0727364,1275242.072,249142.9983,47.6734009,-122.3160019
339,0,0,0,215,1275242.695,249175.8007,47.6735001,-122.3160019
340,0,0,0,214.2109355,1275243.318,249208.6031,47.6735992,-122.3160019
341,0,0,0,214.2855172,1275243.941,249241.4055,47.6735992,-122.3160019
342,0,0,0,214.8659453,1275244.565,249274.2079,47.6736984,-122.3160019
343,0,0,0,214.7577244,1275245.188,249307.0104,47.6738014,-122.3160019
344,0,0,0,214.1471438,1275245.811,249339.8128,47.6739006,-122.3160019
345,0,0,0,216,1275246.434,249372.6152,47.6739998,-122.3160019
346,0,0,0,217.5956789,1275247.058,249405.4176,47.674099,-122.3160019
347,0,0,0,218,1275247.687,249438.2199,47.6741982,-122.3160019
348,0,0,0,216,1275248.332,249471.0219,47.6743011,-122.3160019
349,0,0,0,216.4991372,1275248.977,249503.8239,47.6744003,-122.3160019
350,0,0,0,216.6133226,1275249.622,249536.6259,47.6744995,-122.3160019
351,0,0,0,217.4379542,1275250.268,249569.4279,47.6744995,-122.3160019
