Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
573,5730,87.54471542,26.68362926
574,5740,88.96974744,27.11797902
575,5750,97.31534088,29.6617159
576,5760,91.90997331,28.01415986
577,5770,93.36209755,28.45676733
578,5780,94.93306032,28.93559678
579,5790,96.4066232,29.38473875
580,5800,97.87719361,29.83296861
581,5810,99.43235718,30.30698247
582,5820,100.8874335,30.75048973
583,5830,102.4660117,31.23164035
584,5840,103.9447217,31.68235116
585,5850,105.5067836,32.15846765
586,5860,106.9682538,32.60392375
587,5870,114.6832734,34.95546174
588,5880,114.5624556,34.91863645
589,5890,111.4959684,33.98397117
590,5900,113.0395999,34.45447005
591,5910,114.5741285,34.92219435
592,5920,116.0992721,35.38705815
593,5930,117.5881986,35.84088293
594,5940,119.028052,36.27975025
595,5950,123.22578,37.55921774
596,5960,121.7462959,37.10827098
597,5970,122.9551319,37.4767242
598,5980,124.0504039,37.81056311
599,5990,125.1947455,38.15935843
600,6000,125.7914431,38.34123185
601,6010,126.4117572,38.53030361
602,6020,127.0491578,38.72458331
603,6030,132.3464404,40.33919502
604,6040,128.0081599,39.01688715
605,6050,128.2844502,39.10110042
606,6060,128.5323691,39.17666611
607,6070,135.3314807,41.24903533
608,6080,132.8941882,40.50614857
609,6090,145.1794255,44.25068889
610,6100,132.894436,40.50622408
611,6110,134.966034,41.13764715
612,6120,133.5163797,40.69579252
613,6130,130.5406195,39.78878083
614,6140,130.4057047,39.7476588
615,6150,130.5411082,39.78892977
616,6160,130.8155312,39.8725739
617,6170,131.0158095,39.93361874
618,6180,133.9315646,40.82234088
619,6190,131.3680493,40.04098142
620,6200,131.3989065,40.0503867
621,6210,131.7189779,40.14794447
622,6220,132.0540993,40.25008947
623,6230,136.4495532,41.5898238
624,6240,132.4865502,40.38190049
625,6250,135.1215761,41.18505639
626,6260,133.4293844,40.66927636
627,6270,135.31725,41.24469779
628,6280,150.1093113,45.75331808
629,6290,133.9143568,40.81709594
630,6300,162.7998421,49.62139187
631,6310,138.6644321,42.26491891
632,6320,143.9566875,43.87799835
633,6330,145.5717122,44.37025786
634,6340,136.8589273,41.71460105
635,6350,146.8040663,44.74587942
636,6360,163.437812,49.8158451
637,6370,139.3112777,42.46207744
638,6380,140.1724308,42.72455691
639,6390,141.2107853,43.04104736
640,6400,142.2653739,43.36248596
641,6410,162.7079284,49.59337658
642,6420,144.4653328,44.03303344
643,6430,157.4526143,47.99155685
644,6440,156.1184651,47.58490817
645,6450,147.5505698,44.97341369
646,6460,148.6964171,45.32266794
647,6470,149.6619028,45.61694798
648,6480,156.3473718,47.65467894
649,6490,169.785357,51.7505768
