Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
562,5620,169.0179249,51.51666352
563,5630,168.9617861,51.4995524
564,5640,170.1086477,51.84911583
565,5650,171.0951307,52.14979585
566,5660,171.0802585,52.14526279
567,5670,171.8215989,52.37122336
568,5680,180.7263153,55.0853809
569,5690,173.341092,52.83436483
570,5700,173.977045,53.02820333
571,5710,174.5347161,53.19818146
572,5720,178.0875778,54.28109371
573,5730,177.5658754,54.12207881
574,5740,175.9845581,53.6400933
575,5750,176.4108167,53.77001694
576,5760,176.9539763,53.93557197
577,5770,206.8281469,63.04121917
578,5780,201.2394949,61.33779804
579,5790,178.4417664,54.3890504
580,5800,178.3962344,54.37517226
581,5810,198.1289047,60.38969015
582,5820,178.9847368,54.55454777
583,5830,184.1746955,56.1364472
584,5840,185.659943,56.58915064
585,5850,186.082332,56.7178948
586,5860,185.9186195,56.66799522
587,5870,180.2390031,54.93684816
588,5880,180.4589075,55.00387502
589,5890,180.6239413,55.05417731
590,5900,180.8362766,55.1188971
591,5910,181.0342663,55.17924436
592,5920,238.5304072,72.70406811
593,5930,224.6979598,68.48793815
594,5940,182.015816,55.47842071
595,5950,181.6817654,55.3766021
596,5960,182.2132032,55.53858432
597,5970,181.5648071,55.34095321
598,5980,220.8883443,67.32676734
599,5990,198.8291055,60.60311135
600,6000,229.1827158,69.85489178
601,6010,216.9303574,66.12037295
602,6020,194.0907614,59.15886407
603,6030,193.3174652,58.9231634
604,6040,220.9765424,67.35365014
605,6050,201.7897392,61.50551251
606,6060,179.589663,54.73892929
607,6070,182.2613195,55.55325017
608,6080,183.303762,55.87098666
609,6090,177.3503747,54.05639422
610,6100,176.4295877,53.77573834
611,6110,187.352754,57.10511942
612,6120,174.7084436,53.2511336
613,6130,173.7684383,52.96462
614,6140,172.7765426,52.66229019
615,6150,201.172005,61.31722712
616,6160,218.8561816,66.70736416
617,6170,174.8223918,53.28586503
618,6180,168.6401985,51.40153249
619,6190,167.5028346,51.05486399
620,6200,166.4358934,50.72966031
621,6210,165.3189033,50.38920172
622,6220,164.1720531,50.03964178
623,6230,162.9070816,49.65407848
624,6240,161.6499111,49.27089291
625,6250,160.3549049,48.87617501
626,6260,169.2434352,51.58539906
627,6270,173.0440529,52.74382732
628,6280,156.6745458,47.75440157
629,6290,156.6440572,47.74510863
630,6300,154.2750909,47.02304771
631,6310,153.0588571,46.65233963
632,6320,172.2681339,52.50732722
633,6330,192.5877391,58.70074289
634,6340,174.8620876,53.29796429
635,6350,165.6168949,50.48002958
636,6360,150.1623804,45.76949354
637,6370,171.1732236,52.17359856
638,6380,145.1027744,44.22732565
639,6390,154.4015815,47.06160205
640,6400,151.8028871,46.26951999
641,6410,141.432849,43.10873237
642,6420,140.290587,42.76057091
643,6430,139.170054,42.41903247
644,6440,138.0049559,42.06391056
645,6450,136.8698385,41.71792677
646,6460,135.7172366,41.36661372
647,6470,134.655003,41.04284492
648,6480,133.3731629,40.65214006
649,6490,132.2469517,40.30887087
650,6500,131.0879946,39.95562075
651,6510,146.518594,44.65886744
652,6520,128.6503263,39.21261944
653,6530,127.4633985,38.85084385
654,6540,126.2320265,38.47552168
655,6550,125.0514445,38.1156803
656,6560,123.8450959,37.74798524
657,6570,136.2607266,41.53226948
658,6580,121.5382912,37.04487115
659,6590,120.4737673,36.72040428
660,6600,119.3659772,36.38274985
661,6610,118.6194614,36.15521183
662,6620,118.0966747,35.99586646
663,6630,117.9591606,35.95395215
664,6640,120.2344532,36.64746133
665,6650,117.3342809,35.76348882
666,6660,117.1809924,35.71676647
667,6670,117.017699,35.66699465
668,6680,125.4435635,38.23519815
669,6690,117.0224748,35.66845031
670,6700,116.7521782,35.5860639
671,6710,116.6502324,35.55499083
672,6720,116.5706426,35.53073185
673,6730,116.4129108,35.48265522
674,6740,116.2420845,35.43058734
675,6750,116.0397475,35.36891505
676,6760,115.903214,35.32729963
677,6770,115.8099469,35.29887183
678,6780,115.6346079,35.24542848
679,6790,115.5312541,35.21392625
680,6800,115.3232181,35.15051688
681,6810,115.2958316,35.14216948
682,6820,114.8059653,34.99285824
683,6830,116.7924569,35.59834086
684,6840,114.5392664,34.91156841
685,6850,114.312539,34.84246189
686,6860,114.2800255,34.83255176
687,6870,114.1328084,34.78767999
688,6880,113.9775452,34.74035578
689,6890,113.9370765,34.72802092
690,6900,113.9471706,34.73109761
691,6910,116.3449861,35.46195175
692,6920,113.44237,34.57723438
693,6930,113.3059238,34.53564559
694,6940,113.2748443,34.52617256
695,6950,111.9987167,34.13720885
696,6960,111.1482665,33.87799162
697,6970,110.4939555,33.67855765
698,6980,109.4910198,33.37286283
699,6990,108.7116438,33.13530903
700,7000,108.2430258,32.99247426
701,7010,106.9621115,32.60205158
702,7020,109.3239603,33.32194311
703,7030,105.7085994,32.21998111
704,7040,104.2229076,31.76714225
705,7050,103.777361,31.63133962
706,7060,101.5262397,30.94519785
707,7070,100.4121969,30.60563763
708,7080,98.89982059,30.14466532
709,7090,98.72134419,30.09026571
710,7100,96.21343897,29.3258562
711,7110,95.0001622,28.95604944
712,7120,93.8640995,28.60977753
713,7130,92.97414332,28.33851889
714,7140,92.69572389,28.25365664
715,7150,90.08495678,27.45789483
716,7160,88.73550566,27.04658213
717,7170,87.39936802,26.63932737
718,7180,86.08593284,26.23899233
719,7190,84.84032864,25.85933217
720,7200,86.47248997,26.35681494
721,7210,82.10711159,25.02624761
722,7220,80.70443977,24.59871324
723,7230,79.46486813,24.22089181
724,7240,78.23814234,23.84698579
725,7250,76.9490592,23.45407325
726,7260,75.834318,23.11430013
727,7270,74.64925389,22.75309259
728,7280,121.4131615,37.00673163
729,7290,72.6453976,22.14231719
730,7300,71.65929181,21.84175214
731,7310,70.79040442,21.57691527
732,7320,70.02225936,21.34278465
733,7330,69.81697342,21.2802135
734,7340,68.5206233,20.88508598
735,7350,67.45793409,20.56117831
736,7360,66.4521309,20.2546095
737,7370,68.6926058,20.93750625
738,7380,64.6571137,19.70748825
739,7390,63.66443429,19.40491957
740,7400,62.69563812,19.1096305
741,7410,65.42916209,19.94280861
742,7420,64.91218664,19.78523449
743,7430,59.73652135,18.20769171
744,7440,61.54665772,18.75942127
745,7450,57.67142805,17.57825127
746,7460,67.33333518,20.52320056
747,7470,55.61666106,16.95195829
748,7480,54.67060758,16.66360119
749,7490,56.99285057,17.37142085
750,7500,52.73873522,16.0747665
751,7510,52.20052104,15.91071881
752,7520,68.21354222,20.79148767
753,7530,54.05981123,16.47743046
754,7540,55.86619939,17.02801757
755,7550,66.34168587,20.22094585
756,7560,71.23574335,21.71265457
757,7570,51.38243867,15.66136731
758,7580,76.28244423,23.250889
759,7590,81.6754167,24.89466701
760,7600,53.73210519,16.37754566
761,7610,50.34034708,15.34373779
762,7620,51.92442532,15.82656484
763,7630,66.30974008,20.21120878
764,7640,50.99085758,15.54201339
765,7650,59.89385359,18.25564657
766,7660,49.32947386,15.03562363
767,7670,55.76280948,16.99650433
768,7680,53.86224512,16.41721231
769,7690,53.94266156,16.44172324
770,7700,51.54276286,15.71023412
771,7710,48.98903696,14.93185847
772,7720,48.14963691,14.67600933
773,7730,48.04223936,14.64327456
774,7740,47.92857659,14.60863015
775,7750,47.63957968,14.52054389
776,7760,47.86294157,14.58862459
777,7770,58.2173512,17.74464865
778,7780,50.72441481,15.46080163
779,7790,88.62089602,27.01164911
780,7800,59.79546726,18.22565842
781,7810,77.71047981,23.68615425
782,7820,46.21437723,14.08614218
783,7830,46.09830846,14.05076442
784,7840,45.97751541,14.0139467
785,7850,45.70681774,13.93143805
786,7860,65.24460737,19.88655633
787,7870,63.45111069,19.33989854
788,7880,49.82695235,15.18725508
789,7890,44.99573741,13.71470076
790,7900,87.36018092,26.62738314
791,7910,45.13753862,13.75792177
792,7920,54.17388845,16.5122012
793,7930,76.95964037,23.45729838
794,7940,83.20228598,25.36005677
795,7950,80.74400211,24.61077184
796,7960,94.1978479,28.71150404
797,7970,54.38087482,16.57529065
798,7980,46.18890703,14.07837886
799,7990,46.521832,14.17985439
800,8000,80.85821339,24.64558344
801,8010,88.21735722,26.88865048
802,8020,58.04730769,17.69281938
803,8030,65.33881426,19.91527059
804,8040,53.06597623,16.17450955
805,8050,62.99098327,19.1996517
806,8060,47.38976144,14.44439929
807,8070,75.87511775,23.12673589
808,8080,81.20146969,24.75020796
809,8090,89.30630335,27.22056126
810,8100,115.3327037,35.15340808
811,8110,100.9069819,30.75644808
812,8120,97.47808858,29.7113214
813,8130,102.234628,31.16111462
814,8140,99.86504292,30.43886508
815,8150,46.97393462,14.31765527
816,8160,47.52279307,14.48494733
817,8170,67.08821313,20.44848736
818,8180,68.12609112,20.76483257
819,8190,96.2051414,29.3233271
820,8200,47.5320878,14.48778036
